2017 NAICS Code,2017 NAICS Title,GHG,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Reference USEEIO Code,,,,,
111110,Soybean Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.488,0.044,0.532,1111A0,,,Row Labels,Sum of 2017 NAICS Code,Sum of Supply Chain Emission Factors without Margins
111120,Oilseed (except Soybean) Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.488,0.044,0.532,1111A0,,,Abrasive Product Manufacturing,327910,0.134
111130,Dry Pea and Bean Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,"kg CO2e/2022 USD, purchaser price",327910,0.134
111140,Wheat Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,Adhesive Manufacturing,325520,0.502
111150,Corn Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,"kg CO2e/2022 USD, purchaser price",325520,0.502
111160,Rice Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,Administrative Management and General Management Consulting Services,541611,0.078
111191,Oilseed and Grain Combination Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,"kg CO2e/2022 USD, purchaser price",541611,0.078
111199,All Other Grain Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,1111B0,,,Advertising Agencies,541810,0.085
111211,Potato Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.591,0.041,0.631,111200,,,"kg CO2e/2022 USD, purchaser price",541810,0.085
111219,Other Vegetable (except Potato) and Melon Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.591,0.041,0.631,111200,,,Advertising Material Distribution Services,541870,0.085
111310,Orange Groves,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"kg CO2e/2022 USD, purchaser price",541870,0.085
111320,Citrus (except Orange) Groves,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410,0.093
111331,Apple Orchards,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"kg CO2e/2022 USD, purchaser price",711410,0.093
111332,Grape Vineyards,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,Air and Gas Compressor Manufacturing,333912,0.158
111333,Strawberry Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"kg CO2e/2022 USD, purchaser price",333912,0.158
111334,Berry (except Strawberry) Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,Air Traffic Control,488111,0.162
111335,Tree Nut Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"kg CO2e/2022 USD, purchaser price",488111,0.162
111336,Fruit and Tree Nut Combination Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,333415,0.156
111339,Other Noncitrus Fruit Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,,,"kg CO2e/2022 USD, purchaser price",333415,0.156
111411,Mushroom Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,111400,,,Aircraft Engine and Engine Parts Manufacturing,336412,0.151
111419,Other Food Crops Grown Under Cover,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,111400,,,"kg CO2e/2022 USD, purchaser price",336412,0.151
111421,Nursery and Tree Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,111400,,,Aircraft Manufacturing,336411,0.131
111422,Floriculture Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,111400,,,"kg CO2e/2022 USD, purchaser price",336411,0.131
111910,Tobacco Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,All Other Amusement and Recreation Industries,713990,0.235
